size = 2030,
ITEM = {slot = 1, stringID = traptrack, amount = 1},
ITEM = {slot = 2, stringID = nachos, amount = 1},
ITEM = {slot = 3, stringID = tungstenboomerang, amount = 1},
ITEM = {slot = 4, stringID = animalkeepershat, amount = 1},
ITEM = {slot = 5, stringID = dungeonentrance, amount = 1},
ITEM = {slot = 6, stringID = basaltdoor, amount = 1},
ITEM = {slot = 7, stringID = kineticboots, amount = 1},
ITEM = {slot = 8, stringID = maplelog, amount = 1},
ITEM = {slot = 9, stringID = tungstenoredeepswamprock, amount = 1},
ITEM = {slot = 10, stringID = copperchestplate, amount = 1},
ITEM = {slot = 11, stringID = venomousreckoningvinyl, amount = 1},
ITEM = {slot = 12, stringID = magerobe, amount = 1},
ITEM = {slot = 13, stringID = battlechefchestplate, amount = 1},
ITEM = {slot = 14, stringID = sprucedinnertable, amount = 1},
ITEM = {slot = 15, stringID = voidmissile, amount = 1},
ITEM = {slot = 16, stringID = basalttorch, amount = 1},
ITEM = {slot = 17, stringID = beefgoulash, amount = 1},
ITEM = {slot = 18, stringID = sunglasses, amount = 1},
ITEM = {slot = 19, stringID = ivyoreswamp, amount = 1},
ITEM = {slot = 20, stringID = lifependant, amount = 1},
ITEM = {slot = 21, stringID = ectoplasm, amount = 1},
ITEM = {slot = 22, stringID = plaguerobe, amount = 1},
ITEM = {slot = 23, stringID = swampstonearrowtrap, amount = 1},
ITEM = {slot = 24, stringID = ancientfossilbar, amount = 1},
ITEM = {slot = 25, stringID = deepsnowstonewall, amount = 1},
ITEM = {slot = 26, stringID = carpentersbench, amount = 1},
ITEM = {slot = 27, stringID = assassinscowl, amount = 1},
ITEM = {slot = 28, stringID = eraser, amount = 1},
ITEM = {slot = 29, stringID = swamprock, amount = 1},
ITEM = {slot = 30, stringID = paintingswampcaveling, amount = 1},
ITEM = {slot = 31, stringID = ivypickaxe, amount = 1},
ITEM = {slot = 32, stringID = hoverboots, amount = 1},
ITEM = {slot = 33, stringID = deepcaverocksmall, amount = 1},
ITEM = {slot = 34, stringID = cryptgravestone2, amount = 1},
ITEM = {slot = 35, stringID = cryptgravestone1, amount = 1},
ITEM = {slot = 36, stringID = copperoresnow, amount = 1},
ITEM = {slot = 37, stringID = frostshardsnow, amount = 1},
ITEM = {slot = 38, stringID = ironoregraniterock, amount = 1},
ITEM = {slot = 39, stringID = crimsonshoes, amount = 1},
ITEM = {slot = 40, stringID = caveglowglassdisplay, amount = 1},
ITEM = {slot = 41, stringID = coolingbox, amount = 1},
ITEM = {slot = 42, stringID = heartcarpet, amount = 1},
ITEM = {slot = 43, stringID = thiefsboots, amount = 1},
ITEM = {slot = 44, stringID = greaterresistancepotion, amount = 1},
ITEM = {slot = 45, stringID = demoncloak, amount = 1},
ITEM = {slot = 46, stringID = trapperhat, amount = 1},
ITEM = {slot = 47, stringID = pharaohsheaddress, amount = 1},
ITEM = {slot = 48, stringID = scrambledeggs, amount = 1},
ITEM = {slot = 49, stringID = oaktree, amount = 1},
ITEM = {slot = 50, stringID = paintingstonecaveling, amount = 1},
ITEM = {slot = 51, stringID = shadowbolt, amount = 1},
ITEM = {slot = 52, stringID = willowwall, amount = 1},
ITEM = {slot = 53, stringID = blackcoffee, amount = 1},
ITEM = {slot = 54, stringID = deathripper, amount = 1},
ITEM = {slot = 55, stringID = birchchair, amount = 1},
ITEM = {slot = 56, stringID = iciclestaff, amount = 1},
ITEM = {slot = 57, stringID = witchbroom, amount = 1},
ITEM = {slot = 58, stringID = balancedfoci, amount = 1},
ITEM = {slot = 59, stringID = cutlass, amount = 1},
ITEM = {slot = 60, stringID = firearrow, amount = 1},
ITEM = {slot = 61, stringID = paintingeye, amount = 1},
ITEM = {slot = 62, stringID = icearrowtrap, amount = 1},
ITEM = {slot = 63, stringID = copperbow, amount = 1},
ITEM = {slot = 64, stringID = buffergate, amount = 1},
ITEM = {slot = 65, stringID = wire, amount = 1},
ITEM = {slot = 66, stringID = ninjasmark, amount = 1},
ITEM = {slot = 67, stringID = thornspotion, amount = 1},
ITEM = {slot = 68, stringID = sandstonetile, amount = 1},
ITEM = {slot = 69, stringID = glacialchestplate, amount = 1},
ITEM = {slot = 70, stringID = emerald, amount = 1},
ITEM = {slot = 71, stringID = woodboomerang, amount = 1},
ITEM = {slot = 72, stringID = fishonastick, amount = 1},
ITEM = {slot = 73, stringID = sandcaverock, amount = 1},
ITEM = {slot = 74, stringID = rope, amount = 1},
ITEM = {slot = 75, stringID = birchchest, amount = 1},
ITEM = {slot = 76, stringID = palmbookshelf, amount = 1},
